RA,Fase,Turma,Nome,Data de Nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Nº Av,IAA,IEG,IPS,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Fase Ideal,Defasagem,IPP,Ano_Referencia,Instituicao_cat,Fase_num,Indicado_flag,Atingiu_PV_flag,nivel_risco,faixa_IEG,faixa_IAA,faixa_IPS,faixa_INDE
RA-1,7,A,Aluno-1,2003-01-01,19.0,Feminino,2016,Escola Pública,Quartzo,5.783,4.0,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Média,Baixo,Baixo
RA-2,7,A,Aluno-2,2005-01-01,17.0,Feminino,2017,Rede Decisão,Ametista,7.055,4.0,8.8,5.2,6.3,Sem limitações,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Baixo,Média,Médio,Médio
RA-3,7,A,Aluno-3,2005-01-01,17.0,Feminino,2016,Rede Decisão,Ágata,6.591,4.0,0.0,7.9,5.6,Sem limitações,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Médio,Baixa,Baixo,Baixo
RA-4,7,A,Aluno-4,2005-01-01,17.0,Masculino,2017,Rede Decisão,Quartzo,5.951,4.0,8.8,4.5,5.6,Requer avaliação,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Baixo,Média,Baixo,Baixo
RA-5,7,A,Aluno-5,2005-01-01,17.0,Feminino,2016,Rede Decisão,Ametista,7.427,4.0,7.9,8.6,5.6,Requer avaliação,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Médio,Baixa,Baixo,Médio
RA-6,7,A,Aluno-6,2004-01-01,18.0,Feminino,2021,Escola Pública,Quartzo,5.848,4.0,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-7,7,A,Aluno-7,2004-01-01,18.0,Masculino,2017,Rede Decisão,Ágata,6.818,4.0,0.0,8.4,7.5,Sem limitações,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Fase 8 (Universitários),-1,,2022,Outros,7,0.0,0.0,Risco moderado,Médio,Baixa,Médio,Baixo
RA-8,7,A,Aluno-8,2002-01-01,20.0,Feminino,2018,Escola Pública,Quartzo,4.786,4.0,7.1,4.6,6.3,Requer avaliação,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-9,7,A,Aluno-9,2004-01-01,18.0,Feminino,2019,Escola Pública,Topázio,8.109,4.0,8.8,9.5,7.5,Sem limitações,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,1.0,Risco moderado,Alto,Média,Médio,Alto
RA-10,7,A,Aluno-10,2004-01-01,18.0,Feminino,2021,Escola Pública,Quartzo,5.784,4.0,8.3,5.2,5.0,Requer avaliação,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Média,Baixo,Baixo
RA-11,7,A,Aluno-11,2004-01-01,18.0,Feminino,2016,Escola Pública,Quartzo,5.323,4.0,9.2,4.2,5.0,Requer avaliação,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Alta,Baixo,Baixo
RA-12,7,A,Aluno-12,2005-01-01,17.0,Feminino,2020,Escola Pública,Quartzo,4.832,4.0,0.0,4.0,6.9,Sem limitações,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Fase 7 (3º EM),0,,2022,Pública,7,1.0,0.0,Sem risco,Baixo,Baixa,Médio,Baixo
RA-13,7,A,Aluno-13,2004-01-01,18.0,Masculino,2016,Escola Pública,Ágata,6.902,4.0,7.9,7.4,7.5,Sem limitações,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
